nombre_cientifico,nombre_comun,origen,manejo,forma_de_vida,imagen_url,descripcion_uso
Petrea volubilis L.,Santa Rita San Diego,Centroamérica y Antillas menores,cultivada,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Petrea%20volubilis%20L..jpg,"Planta ornamental; no comestible, ingerirla puede causar malestar gastrointestinal."
Phaseolus acutifolius,Frijol sin tiempo,América,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Phaseolus%20acutifolius.jpeg,En algunas tradiciones se usa en la dieta para ayudar al control de la diabetes y mejorar la digestión.
Phaseolus calcaratus,Frijolillo,América,cultivada,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Phaseolus%20calcaratus.avif,en la medicina tradicional se usa en la dieta para mejorar la digestión y ayudar en el control de la glucosa.
Phaseolus coccineus,Frijol botí botí,América,cultivada,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Phaseolus%20coccineus.jpg,Sus semillas se consumen como alimento nutritivo; se asocia con mejorar la digestión y aportar energía.
Phaseolus lunatus,Frijol de leche,América,cultivada,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Phaseolus%20lunatus.jpg,Frijol comestible rico en proteínas; se utiliza en la alimentación para fortalecer el organismo y prevenir desnutrición.
Phaseolus vulgaris,Frijol de tierra,Mesoamérica,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Phaseolus%20vulgaris.jpg,En la dieta tradicional ayuda a controlar niveles de azúcar en sangre y mejorar la digestión.
Phlebodium aureum,Calahuala calaguala,Cosmopolita,silvestre,epífita,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Phlebodium%20aureum.jpg,"Rizoma usado en medicina tradicional para problemas de la piel, psoriasis, alergias, inflamación y fortalecimiento del sistema inmunológico"
Phyla scaberrima (Juss. ex Pers.) Moldenke,Hierba dulce orozuz,América tropical,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Phyla%20scaberrima%20(Juss.%20ex%20Pers.)%20Moldenke.jpg,"Planta aromática usada en infusiones para tos, resfriados, dolor de garganta y problemas digestivos"
Phyllanthus urinaria,Rompe piedra,América tropical,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Phyllanthus%20urinaria.jpg,"Planta medicinal utilizada para cálculos renales, infecciones urinarias y problemas del hígado."
Piper auritum,Momo,Colombia,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Piper%20auritum.webp,"Se usa en la medicina tradicional para problemas digestivos, dolor estomacal, resfriados y tos."
Piper umbellatum,Momo de chombo,Sur de México a Sudamérica Antillas,silvestre,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Piper%20umbellatum.jpg,"Utilizada en infusiones o cataplasmas para inflamaciones, heridas y problemas digestivos."
Pithecellobium lanceolatum,Tucuy,México América tropical,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Pithecellobium%20lanceolatum.jpeg,Árbol cuya corteza se usa en medicina tradicional para tratar diarrea e infecciones leves.
Pithecellobium saman,Samán,América tropical,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Pithecellobium%20saman.jpg,En algunas tradiciones se usan partes del árbol para problemas respiratorios y afecciones digestivas.
Plantago major,Llanté,Norte de Europa y Asia central a Sudamérica,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Plantago%20major.jpg,"Planta medicinal muy conocida para heridas, infecciones, tos, inflamaciones y problemas digestivos."
Platymiscium yucatanum,Hormigo Palo marimba,América tropical,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Platymiscium%20yucatanum.jpeg,No es una planta alimenticia; ingerir partes de la corteza o madera puede causar irritación estomacal.
Pluchea odorata,Altamisa,América tropical,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Pluchea%20odorata.jpg,"Se usa en infusiones o baños para dolores menstruales, inflamación, fiebre y problemas digestivos."
Plumeria rubra L.,Flor de mayo,México y Centroamérica,cultivada/tolerada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Plumeria%20rubra%20L..jpg,"En medicina tradicional se utiliza para problemas de la piel, inflamación y fiebre; algunas preparaciones se usan para tos."
Polystachya rupicola,Jimba (Centro),América tropical,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Polystachya%20rupicola.jpg,"No se considera venenosa, pero no es comestible y puede causar malestar."
Porophyllum ruderale,Papaloquelite,México,silvestre tolerada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Porophyllum%20ruderale.jpg,"Hierba comestible usada para mejorar la digestión, aliviar gases y estimular el apetito."
Portulaca oleracea,Verdolaga,Cosmopolita,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Portulaca%20oleracea.jpg,"Planta comestible rica en nutrientes; se usa para problemas digestivos, inflamación y control de glucosa."
Portulaca pilosa,Mañanita,Norte de California Florida México,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Portulaca%20pilosa.jpg,"Se ha usado en medicina tradicional para problemas urinarios, inflamación y afecciones digestivas."
Pouteria campechiana (Kunth.) Baehni,Canistel,México a América Central,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Pouteria%20campechiana%20(Kunth.)%20Baehni.jpg,Fruto comestible rico en vitaminas; se consume para fortalecer el organismo y mejorar la nutrición.
Pouteria glomerata (Miq.) Radlk.,Chochó,México al Noreste de Argentina,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Pouteria%20glomerata%20(Miq.)%20Radlk..jpg,Consumir partes no maduras o desconocidas puede provocar malestar gastrointestinal.
Pouteria reticulata (Engl.) Eyma,Zapotillo,México a Bolivia,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Pouteria%20reticulata%20(Engl.)%20Eyma.jpg,algunas tradiciones mencionan su uso para problemas digestivos leves.
Pouteria sapota (Jacq.) H.E.Moore & Stearn,Zapote colorado,Trópicos americanos,cultivada silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Pouteria%20sapota%20(Jacq.)%20H.E.Moore%20&%20Stearn.jpg,Fruto nutritivo; en medicina tradicional se ha usado para problemas digestivos y fortalecimiento del organismo.
Pseudobombax ellipticum,Tumbilís tumbilín,América tropical,silvestre,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Pseudobombax%20ellipticum.jpg,Árbol ornamental; algunas partes se han usado tradicionalmente para inflamaciones y afecciones cutáneas.
Pterocarpus hayesii,Palo de sangre,América tropical,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Pterocarpus%20hayesii.jpg,"En medicina tradicional la corteza se usa para tratar heridas, infecciones y problemas inflamatorios."
Pueraria hirsuta,Kudzu,Sureste de China,cultivada,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Pueraria%20hirsuta.jpg,"En medicina tradicional se usa para problemas digestivos, dolor de cabeza, fiebre y para ayudar en el tratamiento del alcoholismo."
Punica granatum,Granada,Sureste de Europa y Sur de Asia,cultivada,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Punica%20granatum.jpg,"El fruto y la cáscara se usan para diarrea, parásitos intestinales, infecciones y problemas digestivos."
Quararibea funebris,Molinillo,América Central,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Quararibea%20funebris.jpg,"Se usa en bebidas tradicionales; en medicina popular se emplea para problemas digestivos, nerviosismo y como relajante."
Ravenala madagascariensis Sonn.,Palma del viajero,Madagascar,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Ravenala%20madagascariensis%20Sonn..jpg,"No se considera altamente tóxica, pero no es una planta alimenticia; ingerir partes puede causar irritación digestiva."
Reinhardtia gracilis,Coquito,América tropical,cultivada,palma,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Reinhardtia%20gracilis.jpg,"No hay registros de toxicidad grave, pero no es comestible y puede causar malestar digestivo."
Renealmia alpinia (Rottb.) Maas,Guá,África a Brasil,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Renealmia%20alpinia%20(Rottb.)%20Maas.jpg,"En medicina tradicional se usa para dolores estomacales, inflamación, infecciones y picaduras de insectos o serpientes"
Roldana oaxacana,Anís de estrella,México Guatemala y Honduras,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Roldana%20oaxacana.jpg,"Planta aromática usada en infusiones para problemas digestivos, gases y cólicos."
Rosa alba,Rosa blanca,China,cultivada,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Rosa%20alba.jpg,"Los pétalos se usan en infusiones o preparados para inflamación, irritaciones de la piel y estrés."
Rosa centifolia,Isabella,China,cultivada,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Rosa%20centifolia.jpg,"Se utiliza en medicina tradicional y cosmética para problemas de la piel, irritaciones y como relajante."
Rosa chinensis,Rosa roja,China,cultivada,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Rosa%20chinensis.jpg,"En infusiones o preparados se usa para problemas digestivos, inflamación y cuidado de la piel."
Rosa moschata,Rosa concha,Caucaso,cultivada,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Rosa%20moschata.jpg,"Se utiliza en medicina tradicional y cosmética para cuidado de la piel, cicatrización y propiedades antioxidantes."
Roystonea dunlapiana,Palma real,América tropical,cultivada,palma,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Roystonea%20dunlapiana.jpeg,en algunas regiones se emplean partes de la palma para problemas digestivos leves y como alimento para animales.
Ruta chalepensis L.,Ruda,Mediterraneo,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Ruta%20chalepensis%20L..jpg,"Planta medicinal usada para dolores estomacales, cólicos, parásitos intestinales, nerviosismo y problemas menstruales."
Sabal mauritiiformis,Guano,México a Colombia,silvestre,palma,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Sabal%20mauritiiformis.jpg,"No es tóxica conocida, pero ingerir hojas o partes vegetales puede causar irritación estomacal."
Sabal mexicana,Bonxan guano redondo o yucateco,México y Guatemala,silvestre tolerada,palma,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Sabal%20mexicana.jpg,"Generalmente no es tóxica, pero no se considera alimento humano."
Saccharum officinarum,Caña de azúcar,Asia tropical,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Saccharum%20officinarum.webp,"El jugo se usa tradicionalmente para dolor de garganta, tos, deshidratación y como fuente rápida de energía."
Salacia elliptica,Gogo,América tropical,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Salacia%20elliptica.jpg,"En medicina tradicional se usa para problemas digestivos, diarrea y algunos padecimientos inflamatorios."
Salix humboldtiana Willd.,Sauce,Este de Asia,cultivada,arbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Salix%20humboldtiana%20Willd..jpeg,"La corteza se usa para fiebre, dolor e inflamación, ya que contiene compuestos similares a la aspirina."
Sambucus mexicana,Sauco,América boreal y occidental,silvestre,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Sambucus%20mexicana.jpg,"Las flores y frutos se usan para resfriados, gripe, tos, fiebre y problemas respiratorios."
Sansevieria trifasciata,Cola de tigre,Zaire,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Sansevieria%20trifasciata.jpg,en medicina tradicional algunas partes se usan para heridas leves y dolor de oído.
Sapindus saponaria L.,Jaboncillo,America boreal austral,silvestre,arbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Sapindus%20saponaria%20L..jpg,El fruto se usa como jabón natural; también se ha usado para problemas de la piel y como repelente de insectos.
Schizolobium parahyba,Guanacaste,América Central y Suramérica,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Schizolobium%20parahyba.webp,en medicina tradicional algunas partes se usan para problemas inflamatorios.
Scoparia dulcis L.,Cilantrillo,Este de Asia,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Scoparia%20dulcis%20L..jpg,"Planta medicinal usada para diabetes, problemas digestivos, infecciones urinarias y fiebre."
Sechium edule,Chayote,México,cultivada,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Sechium%20edule.avif,"Se consume como alimento y se usa tradicionalmente para controlar la presión alta, problemas digestivos y retención de líquidos."
Selenicereus testudo,Cruceta,América tropical,cultivada,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Sechium%20edule.avif,Cactus silvestre cuyo fruto puede consumirse; en medicina tradicional se ha usado para problemas digestivos leves.
Selenicereus undatus,Pitaya pitahaya,Centroamérica,cultivada,epífita,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Selenicereus%20undatus.jpg,"El fruto es comestible y nutritivo; se consume para mejorar la digestión, fortalecer el sistema inmunológico y controlar el colesterol."
Senna fistula,Caña fístula,Sureste de Asia India y Sri Lanka,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Senna%20fistula.jpg,La pulpa del fruto se usa como laxante natural para tratar estreñimiento.
Senna fruticosa,Quelite,México América tropical,tolerada,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Senna%20fruticosa.jpg,En medicina tradicional algunas partes se usan para problemas digestivos e inflamación.
Senna multiglandulosa,Chipilín de leña,América tropical,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Senna%20multiglandulosa.jpg,Se ha usado tradicionalmente para problemas digestivos y como antiinflamatorio.
Senna occidentalis,Hormiguera,México,silvestre tolerada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Senna%20occidentalis.jpg,"Planta medicinal utilizada para problemas de la piel, fiebre, infecciones y problemas digestivos."
Sesamum indicum,Ajonjolí,Trópicos de África y Asia,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Sesamum%20indicum.jpg,"Las semillas se consumen por su valor nutritivo y se usan para fortalecer el organismo, mejorar la digestión y reducir colesterol."
Sicana odorifera,Melocotón,Asia y África tropical,cultivada,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Sicana%20odorifera.jpg,El fruto se consume como alimento; en medicina tradicional se usa para problemas respiratorios y digestivos.
Simira salvadorensis,Chacajabante,Sur de México y Centroamérica,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Simira%20salvadorensis.jpg,"En medicina tradicional se usa para dolores, inflamaciones y algunas infecciones."
Smilax hastata Jacq.,Bejuco de espina,Florida hasta Panamá,silvestre,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Smilax%20hastata%20Jacq..jpg,"Planta utilizada para reumatismo, problemas de la piel, inflamación y depuración de la sangre."
Solanum americanum Mill.,Hierbamora morada,América,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Solanum%20americanum%20Mill..jpg,"Se usa en medicina tradicional para inflamaciones, infecciones de la piel, dolor y problemas digestivos."
Solanum lanceifolium Jacq.,Uva de gato,Mesoamérica,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Solanum%20lanceifolium%20Jacq,"Planta utilizada para problemas respiratorios, tos, inflamación y afecciones de la piel."
Solanum lycopersicum L.,Tomatillo de milpa,México a Sudamérica,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Solanum%20lycopersicum%20L..jpg,tradicionalmente se usa para mejorar la digestión y aportar vitaminas al organismo.
Solanum nigrescens M.Martens & Galeotti,Hierbamora blanca,América,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Solanum%20nigrescens%20M.Martens%20&%20Galeotti.jpg,"Se utiliza para inflamaciones, dolor estomacal, infecciones y afecciones de la piel"
Solanum torvum Sw.,Berenjena cimarrona,Sur de México hasta el norte de Sudamérica,silvestre,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Solanum%20torvum%20Sw..webp,"Se consume como alimento y se usa para anemia, presión alta y fortalecer el sistema inmunológico."
Spathodea campanulata,Tulipán de la India,África tropical,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Spathodea%20campanulata.jpg,"En medicina tradicional se usa para problemas de la piel, inflamación y algunas infecciones."
Spigelia anthelmia,Lombricera hierba de la lombricera,América tropical,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Spigelia%20anthelmia.jpg,Se utiliza para eliminar parásitos intestinales y lombrices
Spondias mombin L.,Jobo,Trópico americano,cultivada/silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Spondias%20mombin%20L..jpg,"La corteza y hojas se usan para diarrea, infecciones, inflamación y problemas digestivos."
Spondias purpurea,Nescafé,Sur de Asia,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Spondias%20purpurea%20L..jpg,"El fruto se consume y se usa para problemas digestivos, deshidratación y fortalecimiento del organismo"
Spondias purpurea L.,Ciruela,Mesoamérica,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Spondias%20purpurea.jpg,"El fruto se consume y se usa para mejorar la digestión, aliviar estreñimiento y aportar vitaminas."
Stachytarpheta jamaicensis (L.) Vahl,Verbena,América tropical,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Stachytarpheta%20jamaicensis%20(L.)%20Vahl.jpg,"Se usa en infusiones para problemas digestivos, fiebre, inflamación y resfriados."
Sterculia apetala (Jacq.) H.Karst.,Bellota,América Central,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Sterculia%20apetala%20(Jacq.)%20H.Karst..jpg,Crudas pueden causar intoxicación o malestar gastrointestinal.
Strelitzia reginae Banks,Ave del paraíso,Madagascar,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Strelitzia%20reginae%20Banks.jpg,"Las semillas y partes de la planta contienen compuestos que pueden causar vómitos, diarrea y malestar digestivo."
Syzygium jambos,Pomarrosa,Sureste de Asia,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Syzygium%20jambos.jpg,"El fruto y hojas se usan en medicina tradicional para diarrea, fiebre, problemas digestivos y resfriados."
Tabebuia rosea,Macuilis,América tropical,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Tabebuia%20rosea.jpg,"La corteza y hojas se usan tradicionalmente para infecciones, fiebre, inflamación y problemas digestivos."
Tagetes erecta,Cempasúchil,México y Centroamérica,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Tagetes%20erecta.jpg,"Se usa en infusiones para dolores estomacales, parásitos intestinales y problemas digestivos."
Tagetes lucida,Anís de estrella,México Guatemala y Honduras,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Tagetes%20lucida.jpg,"Planta medicinal usada para dolor estomacal, nerviosismo, resfriados y problemas digestivos."
Talisia olivaeformis (Kunth) Radlk.,Guayo guaya,Mexico,silvestre,arbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Talisia%20olivaeformis%20(Kunth)%20Radlk..webp,El fruto se consume y se usa tradicionalmente para problemas digestivos y como alimento energético.
Tamarindus indica,Tamarindo,Asia,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Tamarindus%20indica.jpg,"El fruto se usa para estreñimiento, fiebre, problemas digestivos y deshidratación."
Tecoma stans,Guayacán,América Central y del Sur,silvestre tolerada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Tecoma%20stans.jpg,"Planta medicinal usada para diabetes, problemas digestivos y fiebre."
Tectona grandis L.f.,Teca,India Birmania Tailandia Java e Indonesia,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Tectona%20grandis%20L.f..jpg,Ingerir hojas o corteza puede provocar irritación gastrointestinal; el polvo de madera puede causar alergias o irritación en piel y vías respiratorias.
Terminalia catappa,Almendra,Asia tropical,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Terminalia%20catappa.jpg,"Las hojas y frutos se usan para problemas digestivos, diarrea, infecciones y presión alta."
Thelypteris tetragona (Sw.) Small,Helecho,Caribe,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Thelypteris%20tetragona%20(Sw.)%20Small.jpg,"s se usan tradicionalmente para problemas de la piel e inflamación, aunque su uso medicinal es limitado."
Theobroma cacao L.,Cacao,Mesoamérica,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Theobroma%20cacao%20L..jpg,"Las semillas se consumen como alimento y bebida; tradicionalmente se usa para energía, mejorar el estado de ánimo y problemas digestivos leves."
Tiarella cordifolia (Thunb.) Ser.,Hortensia,Japon Corea,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Tiarella%20cordifolia%20(Thunb.)%20Ser..jpg,en medicina tradicional algunas especies relacionadas se usan para problemas urinarios y renales.
Tillandsia usneoides,Paistle de nacimiento,América tropical,silvestre,epífita,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Tillandsia%20usneoides.webp,"Se usa en medicina tradicional para tos, resfriados, inflamación y problemas respiratorios."
Tithonia diversifolia,Árnica,Sur de México hasta Centroamérica,silvestre,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Tithonia%20diversifolia.jpg,"Se utiliza para golpes, inflamación, dolor muscular y cicatrización de heridas."
Tradescantia spathacea,Maguey morado,México El Caribe y Centroamérica,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Tradescantia%20spathacea.jpg,"Planta medicinal usada para tos, gripe, inflamación y problemas respiratorios."
Tradescantia zebrina,Matali,América tropical,silvestre cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Tradescantia%20zebrina.jpg,"Se usa tradicionalmente para problemas digestivos, infecciones urinarias y control de azúcar en la sangre."
Trema micrantha (L.) Blume,Cuero de vieja capulín,México y sur de Florida,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Trema%20micrantha%20(L.)%20Blume.jpg,"Se emplea para diarrea, inflamación, problemas digestivos y algunas infecciones."
Trichospermum mexicanum (DC.) Baill.,Palencano,América tropical,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Trichospermum%20mexicanum%20(DC.)%20Baill..jpg,"En medicina tradicional se usa para problemas respiratorios, inflamación y dolor."
Tynanthus guatemalensis,Chichimecate,América Central,silvestre,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Tynanthus%20guatemalensis.jpg,"Bejuco medicinal usado para dolores, inflamación y problemas digestivos."
Typha domingensis Pers.,Tule,América,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Typha%20domingensis%20Pers..jpg,"En medicina tradicional se usa para heridas, inflamaciones y problemas de la piel."
Typha latifolia L.,Espadaña,Hemisferio Norte templado a Centroamérica sur de Nigeria y Kenia,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Typha%20latifolia%20L..jpg,"Se utiliza para quemaduras, heridas y problemas inflamatorios de la piel."
Urera alceifolia Gaud.,Hoja de tigre,América tropical,silvestre,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Urera%20alceifolia%20Gaud..jpg,"Se usa en medicina tradicional para inflamaciones, dolor y problemas de la piel"
Usnea barbata L.,Barba de viejo,América tropical,silvestre,epífita,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Usnea%20barbata%20L..jpeg,"Liquen medicinal usado para infecciones, problemas respiratorios y como antibiótico natural."
Vasconcellea cauliflora,Papayita,América,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Vasconcellea%20cauliflora.jpg,"El fruto y hojas se utilizan para problemas digestivos, parásitos intestinales y mejorar la digestión."
Vernonia deppeana,Malacate,Centroamérica México,silvestre,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Vernonia%20deppeana.jpg,"Se usa tradicionalmente para problemas digestivos, fiebre e inflamación."
Vetiveria zizanioides,Vetiver,Asia tropical,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Vetiveria%20zizanioides.jpg,"La raíz se utiliza para calmar nervios, reducir estrés, fiebre y problemas de la piel."
Vigna sinensis,Frijol rojo,Cosmopolita,cultivada,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Vigna%20sinensis.jpg,"Se consume como alimento nutritivo; tradicionalmente se considera útil para anemia, energía y fortalecimiento del organismo."
Vigna unguiculata,Frijol pelón,Cosmopolita,cultivada,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Vigna%20unguiculata.jpg,"Se consume como alimento y se relaciona con mejorar la nutrición, fortalecer el organismo y prevenir anemia."
Viguiera dentata,Jimba (Tacotalpa),México y Costa Rica,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Viguiera%20dentata.jpg,"Se usa en medicina tradicional para dolores, inflamación y algunos problemas digestivos."
Vitis tiliifolia Humb. et Bonpl. ex Roem. et Schult.,Uvita o parra,México a Honduras,silvestre,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Vitis%20tiliifolia%20Humb.%20et%20Bonpl.%20ex%20Roem.%20et%20Schult..jpg,"Los frutos se consumen y se utilizan para problemas digestivos, debilidad y como antioxidante natural."
Vochysia guatemalensis Donn. Sm.,Neguí macá blanca,América tropical,arból,silvestre,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Vochysia%20guatemalensis%20Donn.%20Sm..jpg,Principalmente árbol maderable; en medicina tradicional algunas partes se usan para inflamaciones y afecciones de la piel.
Witheringia meiantha (Donn. Sm.) Hunz.,Cuía ashante cunagua,Mesoamérica,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Witheringia%20meiantha%20(Donn.%20Sm.)%20Hunz..jpg,"Se usa en medicina tradicional para problemas respiratorios, fiebre y dolor."
